#     HJD               R           errR
2459896.78037579      11.2206       0.0022
2459896.78273682      11.2186       0.0022
2459896.78509786      11.2200       0.0022
2459896.78747047      11.2174       0.0022
2459896.78983151      11.2148       0.0022
2459896.79220413      11.2159       0.0022
2459896.79456516      11.2123       0.0022
2459896.79693778      11.2099       0.0022
2459896.79929881      11.1996       0.0022
2459896.80167143      11.1945       0.0022
2459896.80403247      11.1800       0.0022
2459896.80640508      11.1779       0.0022
2459896.80876612      11.1654       0.0022
2459896.81112715      11.1597       0.0022
2459896.81349977      11.1536       0.0022
2459896.81586080      11.1474       0.0022
2459896.81823342      11.1359       0.0022
2459896.82059445      11.1382       0.0022
2459896.82296707      11.1301       0.0022
2459896.82532811      11.1215       0.0022
2459896.82770072      11.1105       0.0022
2459896.83006176      11.1060       0.0022
2459896.83243437      11.1059       0.0022
2459896.83480698      11.1043       0.0022
2459896.83716802      11.1031       0.0022
2459896.83954063      11.0900       0.0022
2459896.84190167      11.0940       0.0022
2459896.84427428      11.0859       0.0022
2459896.84663532      11.0890       0.0022
2459896.84951717      11.1074       0.0028
2459896.85188979      11.0765       0.0022
2459896.85717897      11.0794       0.0022
2459896.85955159      11.0747       0.0022
2459897.58812841      11.0851       0.0022
2459897.59048944      11.0762       0.0022
2459897.59283891      11.0798       0.0022
2459897.59519994      11.0775       0.0022
2459897.59756098      11.0759       0.0022
2459897.59992202      11.0786       0.0022
2459897.60228305      11.0747       0.0022
2459897.60465566      11.0794       0.0022
2459897.60701670      11.0788       0.0022
2459897.60937774      11.0767       0.0022
2459897.61173877      11.0851       0.0022
2459897.61409981      11.0881       0.0022
2459897.61646085      11.0896       0.0022
2459897.61882189      11.0885       0.0022
2459897.62118292      11.0936       0.0022
2459897.62355553      11.0952       0.0022
2459897.62591657      11.0946       0.0022
2459897.62827761      11.1033       0.0022
2459897.63063864      11.1062       0.0022
2459897.63299968      11.1122       0.0022
2459897.63536072      11.1181       0.0022
2459897.63772175      11.1229       0.0022
2459897.64008279      11.1203       0.0022
2459897.64244383      11.1248       0.0022
2459897.64481644      11.1328       0.0022
2459897.64717747      11.1381       0.0022
2459897.64953851      11.1390       0.0022
2459897.65189954      11.1487       0.0022
2459897.65426058      11.1596       0.0022
2459897.65662162      11.1645       0.0022
2459897.65898266      11.1739       0.0022
2459897.66134369      11.1838       0.0022
2459897.66370473      11.1892       0.0022
2459897.66606576      11.1984       0.0022
2459897.66842680      11.2063       0.0022
2459897.67079941      11.2118       0.0022
2459897.67316045      11.2166       0.0022
2459897.67552148      11.2184       0.0022
2459897.67788252      11.2193       0.0022
2459897.68024356      11.2188       0.0022
2459897.68261617      11.2177       0.0022
2459897.68497720      11.2165       0.0022
2459897.68733824      11.2246       0.0022
2459897.68969928      11.2202       0.0022
2459897.69207189      11.2165       0.0022
2459897.69444450      11.2169       0.0022
2459897.69680553      11.2349       0.0036
2459897.69916657      11.2280       0.0022
2459897.70152761      11.2222       0.0028
2459897.70390022      11.2177       0.0028
2459897.70626125      11.2261       0.0028
2459897.70862229      11.2250       0.0022
2459897.71098333      11.2257       0.0022
2459897.71335594      11.2222       0.0022
2459897.71571697      11.2194       0.0022
2459897.71807801      11.2130       0.0022
2459897.72043905      11.1976       0.0022
2459897.72281166      11.1941       0.0022
2459897.72517269      11.1897       0.0022
2459897.72753373      11.1818       0.0022
2459897.72989477      11.1723       0.0022
2459897.73226738      11.1626       0.0022
2459897.73462841      11.1552       0.0022
2459897.73698945      11.1441       0.0022
2459897.73935049      11.1439       0.0022
2459897.74172309      11.1398       0.0022
2459897.74408413      11.1341       0.0022
2459897.74644517      11.1294       0.0022
2459897.74881778      11.1252       0.0022
2459897.75117881      11.1196       0.0022
2459897.75353985      11.1149       0.0022
2459897.75591246      11.1089       0.0022
2459897.75827350      11.1096       0.0022
2459897.76063453      11.1053       0.0022
2459897.76300714      11.1027       0.0022
2459897.76536818      11.0953       0.0022
2459897.76772922      11.1006       0.0022
2459897.77010183      11.0956       0.0022
2459897.77246286      11.0902       0.0022
2459897.77482390      11.0935       0.0022
2459897.77719651      11.0822       0.0022
2459897.77955755      11.0895       0.0022
