#     HJD               B           errB
2459897.65308006      12.3646       0.0028
2459897.65545267      12.3720       0.0028
2459897.65781371      12.3804       0.0028
2459897.66017475      12.3927       0.0028
2459897.66253578      12.4028       0.0028
2459897.66489682      12.4110       0.0028
2459897.66725786      12.4197       0.0028
2459897.66961889      12.4211       0.0028
2459897.67197993      12.4268       0.0028
2459897.67434097      12.4342       0.0028
2459897.67671358      12.4356       0.0028
2459897.67907461      12.4287       0.0028
2459897.68143565      12.4358       0.0028
2459897.68379669      12.4418       0.0028
2459897.68615772      12.4404       0.0028
2459897.68853033      12.4375       0.0036
2459897.69089137      12.4354       0.0036
2459897.69326398      12.4397       0.0028
2459897.69562502      12.4318       0.0028
2459897.69799763      12.4332       0.0028
2459897.70035866      12.4386       0.0028
2459897.70271970      12.4424       0.0028
2459897.70508074      12.4463       0.0028
2459897.70745335      12.4433       0.0028
2459897.70981438      12.4425       0.0028
2459897.71217542      12.4430       0.0028
2459897.71453646      12.4376       0.0028
2459897.71690907      12.4348       0.0028
2459897.71927010      12.4250       0.0028
2459897.72163114      12.4217       0.0028
2459897.72399218      12.4128       0.0028
2459897.72635321      12.3866       0.0028
2459897.72872582      12.3896       0.0028
2459897.73108686      12.3777       0.0028
2459897.73344789      12.3753       0.0028
2459897.73582050      12.3630       0.0028
2459897.73818154      12.3562       0.0028
2459897.74054258      12.3513       0.0028
2459897.74290361      12.3519       0.0028
2459897.74527622      12.3456       0.0028
2459897.74763726      12.3389       0.0028
2459897.75000987      12.3361       0.0028
2459897.75237091      12.3266       0.0028
2459897.75473194      12.3231       0.0028
2459897.75709298      12.3211       0.0028
2459897.75946559      12.3191       0.0028
2459897.76182663      12.3133       0.0028
2459897.76418766      12.3089       0.0028
2459897.76656027      12.2996       0.0028
2459897.76892131      12.3073       0.0028
2459897.77128234      12.2978       0.0028
2459897.77365495      12.2996       0.0028
2459897.77601599      12.2930       0.0028
2459897.77838860      12.2933       0.0028
