#     HJD               V           errV
2459688.66264897      13.7047       0.0112
2459688.66470896      13.7024       0.0067
2459688.66675737      13.6894       0.0067
2459688.66881735      13.7063       0.0045
2459688.67086576      13.7087       0.0067
2459688.67292574      13.7057       0.0067
2459688.67498572      13.7254       0.0045
2459688.67703413      13.7220       0.0045
2459688.67909412      13.7272       0.0045
2459688.68115410      13.7382       0.0045
2459688.68321408      13.7494       0.0045
2459688.68527406      13.7522       0.0045
2459688.68732247      13.7690       0.0045
2459688.68992639      13.7771       0.0054
2459688.69199794      13.7830       0.0067
2459688.69404635      13.7860       0.0098
2459688.69610633      13.7877       0.0089
2459688.70023787      13.8277       0.0067
2459688.70229785      13.8411       0.0076
2459688.70435784      13.8524       0.0076
2459688.70642939      13.8609       0.0054
2459688.70904488      13.8631       0.0076
2459688.71110486      13.8875       0.0067
2459688.71316484      13.9025       0.0067
2459688.71522482      13.9023       0.0067
2459688.71728481      13.9141       0.0098
2459688.71934479      13.9088       0.0076
2459688.72139320      13.9118       0.0076
2459688.72345318      13.9016       0.0054
2459688.72551316      13.8916       0.0054
2459688.72757315      13.8827       0.0054
2459688.72962156      13.8709       0.0054
2459688.73168154      13.8738       0.0067
2459688.73374152      13.8483       0.0054
2459695.65513825      13.6975       0.0045
2459695.65719824      13.6974       0.0045
2459695.65926980      13.7110       0.0045
2459695.66132978      13.7090       0.0045
2459695.66338977      13.7125       0.0045
2459695.66544975      13.7194       0.0045
2459695.66750974      13.7255       0.0054
2459695.66956973      13.7295       0.0054
2459695.68543625      13.8115       0.0054
2459695.68748466      13.8124       0.0054
2459695.68954465      13.8255       0.0054
2459695.69160464      13.8257       0.0054
2459695.69366462      13.8511       0.0054
2459695.69571304      13.8600       0.0058
2459695.69777302      13.8847       0.0054
2459695.69983301      13.8859       0.0054
2459695.70322389      13.9021       0.0054
2459695.70528387      13.9099       0.0054
2459695.70734386      13.9241       0.0054
2459695.70940384      13.9175       0.0054
2459695.71146383      13.9308       0.0054
2459695.71352382      13.9223       0.0054
2459695.71557223      13.9289       0.0054
2459695.71763222      13.9293       0.0054
2459695.71968063      13.9129       0.0054
2459695.72174062      13.9077       0.0054
2459695.72380060      13.9024       0.0054
2459695.72586059      13.8824       0.0054
2459695.72792058      13.8731       0.0054
2459695.72996899      13.8407       0.0054
2459695.73202898      13.8388       0.0054
2459695.73408896      13.8283       0.0054
2459695.73614895      13.8225       0.0054
2459695.73819736      13.8008       0.0054
2459695.74025735      13.7917       0.0054
2459695.74231733      13.7783       0.0054
2459695.74437732      13.7658       0.0054
2459695.74643731      13.7597       0.0054
2459695.74849729      13.7551       0.0054
2459695.75054571      13.7356       0.0054
2459695.75260569      13.7323       0.0054
2459695.75466568      13.7273       0.0054
2459695.75672567      13.7104       0.0058
2459930.77975131      13.7087       0.0058
2459930.78182316      13.6987       0.0058
2459930.78388345      13.7003       0.0058
2459930.78594373      13.6905       0.0058
2459930.78800401      13.6940       0.0058
2459930.79006430      13.6828       0.0058
2459930.79212458      13.6827       0.0058
2459930.79418486      13.6845       0.0058
2459930.79624515      13.6830       0.0058
2459930.79830543      13.6853       0.0058
2459930.80036572      13.6873       0.0058
2459930.80242600      13.7012       0.0058
2459930.80448628      13.6962       0.0058
2459930.80654657      13.7003       0.0058
2459930.80860685      13.7105       0.0058
2459930.81066713      13.7182       0.0058
2459930.81272741      13.7370       0.0058
2459930.81478770      13.7344       0.0067
2459930.81684798      13.7432       0.0058
2459930.81890827      13.7573       0.0067
2459930.82098012      13.7659       0.0058
2459930.82304041      13.7748       0.0058
2459930.82510069      13.7858       0.0067
2459930.82716097      13.8010       0.0058
2459930.82922126      13.8095       0.0058
2459930.83128154      13.8102       0.0067
2459930.83540211      13.8555       0.0076
2459930.83747396      13.8470       0.0076
2459930.83953425      13.8772       0.0067
2459930.84159453      13.8800       0.0067
2459930.84365481      13.9073       0.0067
2459930.84571510      13.9121       0.0067
2459930.84777538      13.9364       0.0076
2459930.84984724      13.9325       0.0067
2459930.85190752      13.9575       0.0076
2459930.85396781      13.9531       0.0085
2459930.85602809      13.9664       0.0076
2459930.85808837      13.9701       0.0076
2459930.86014865      13.9707       0.0054
2459930.86222051      13.9723       0.0058
2459930.86428080      13.9565       0.0058
2459930.86634108      13.9541       0.0058
2459930.86840136      13.9454       0.0054
2459930.87046165      13.9279       0.0054
