#     HJD               B           errB
2459656.78369027      14.4893       0.0063
2459656.78576185      14.4954       0.0063
2459656.78783342      14.4699       0.0063
2459656.78990500      14.4531       0.0063
2459656.79197657      14.4526       0.0063
2459656.79404815      14.4484       0.0063
2459656.79611973      14.4380       0.0063
2459656.79819130      14.4252       0.0063
2459656.80026288      14.4290       0.0063
2459656.80234603      14.4109       0.0063
2459656.80441760      14.4077       0.0063
2459656.80648918      14.4116       0.0063
2459656.80857233      14.4129       0.0063
2459656.81064390      14.4192       0.0063
2459656.81271548      14.4195       0.0063
2459656.81478706      14.4141       0.0063
2459656.81687020      14.4034       0.0063
2459656.81894178      14.4150       0.0063
2459656.82101336      14.4116       0.0063
2459656.82309650      14.4192       0.0063
2459656.82516808      14.4368       0.0063
2459656.82725123      14.4422       0.0073
2459656.82932281      14.4482       0.0063
2459656.83139438      14.4527       0.0073
2459656.83347753      14.4721       0.0073
2459656.83554911      14.4754       0.0073
2459656.83763226      14.4882       0.0073
2459656.83970383      14.4913       0.0073
2459656.84177541      14.5018       0.0073
2459683.64646515      14.4958       0.0054
2459683.64854828      14.4734       0.0054
2459683.65061983      14.4720       0.0054
2459683.65267981      14.4662       0.0054
2459683.66080401      14.4539       0.0054
2459683.66309545      14.4511       0.0045
2459683.66516701      14.4568       0.0054
2459683.66722699      14.4523       0.0054
2459683.66928697      14.4516       0.0054
2459683.67135852      14.4473       0.0054
2459683.67341851      14.4658       0.0054
2459683.67444271      14.4600       0.0076
2459683.67589511      14.4737       0.0054
2459683.67693089      14.4745       0.0076
2459683.67838329      14.4847       0.0054
2459683.68044327      14.4813       0.0054
2459683.68250326      14.4966       0.0054
2459683.68457481      14.5057       0.0054
2459683.68663479      14.5065       0.0054
2459683.68870635      14.5198       0.0054
2459683.69076633      14.5336       0.0054
2459683.69283789      14.5447       0.0054
2459683.69512933      14.5507       0.0054
2459683.69720088      14.5614       0.0054
2459683.69926086      14.5654       0.0054
2459683.70133242      14.5861       0.0054
2459683.70339240      14.5951       0.0054
2459683.70546395      14.6041       0.0054
2459683.70752394      14.6194       0.0054
2459683.70958392      14.6277       0.0054
2459683.71165547      14.6416       0.0054
2459683.71372703      14.6422       0.0054
2459683.71578701      14.6414       0.0054
2459683.71784699      14.6692       0.0054
2459683.71991855      14.6751       0.0054
2459683.72197853      14.6740       0.0054
2459683.72405008      14.6796       0.0054
2459683.72612164      14.6644       0.0054
2459683.72818162      14.6775       0.0054
2459683.73025317      14.6578       0.0054
2459683.73231316      14.6554       0.0054
2459683.73438471      14.6263       0.0054
2459683.73645627      14.6282       0.0063
2459683.73851625      14.6230       0.0063
2459683.74058780      14.5960       0.0063
2459683.74265936      14.5816       0.0054
2459683.74471934      14.5764       0.0054
2459688.63033734      14.5258       0.0054
2459688.63238575      14.5132       0.0045
2459688.63443416      14.5089       0.0045
2459688.63649414      14.4963       0.0054
2459688.63854255      14.4922       0.0054
2459688.64060253      14.4914       0.0054
2459688.64265094      14.4720       0.0067
2459688.64471092      14.4614       0.0067
2459688.64675933      14.4620       0.0045
2459688.64881932      14.4530       0.0058
2459688.65086772      14.4450       0.0058
2459688.65292771      14.4282       0.0076
2459688.65497612      14.4476       0.0058
2459688.65703610      14.4412       0.0054
2459688.65908451      14.4442       0.0045
2459688.66114449      14.4323       0.0076
2459688.66319290      14.4380       0.0076
2459688.66525289      14.4414       0.0045
2459688.66731287      14.4411       0.0054
2459688.66936128      14.4507       0.0045
2459688.67142126      14.4538       0.0054
2459688.67348124      14.4684       0.0067
2459688.67554123      14.4643       0.0045
2459688.67758963      14.4787       0.0045
2459688.67964962      14.4710       0.0045
2459688.68170960      14.4884       0.0045
2459688.68375801      14.5005       0.0045
2459688.68581799      14.5187       0.0045
2459688.68787798      14.5194       0.0045
2459688.69048189      14.5351       0.0045
2459688.69254187      14.5472       0.0054
2459688.69460185      14.5476       0.0098
2459688.69665026      14.5665       0.0108
2459688.69871024      14.5763       0.0085
2459688.70078180      14.5887       0.0067
2459688.70285335      14.5990       0.0076
2459688.70697332      14.6256       0.0054
2459688.70958880      14.6448       0.0067
2459688.71164879      14.6438       0.0054
2459688.71370877      14.6576       0.0054
2459688.71576875      14.6609       0.0063
2459688.71784031      14.6606       0.0085
2459688.71988872      14.6789       0.0085
2459688.72194870      14.6669       0.0063
2459688.72400868      14.6524       0.0054
2459688.72605709      14.6420       0.0054
2459688.72811708      14.6435       0.0054
2459688.73017706      14.6185       0.0063
2459688.73223704      14.6194       0.0054
2459688.73428545      14.5964       0.0054
2459695.65568218      14.4401       0.0045
2459695.65775374      14.4592       0.0045
2459695.65981372      14.4550       0.0045
2459695.66187371      14.4517       0.0045
2459695.66393370      14.4587       0.0045
2459695.66599368      14.4691       0.0045
2459695.66806524      14.4796       0.0045
2459695.67012523      14.4941       0.0045
2459695.68598018      14.5580       0.0054
2459695.68804017      14.5774       0.0054
2459695.69010015      14.5831       0.0054
2459695.69214857      14.5938       0.0054
2459695.69420855      14.6063       0.0054
2459695.69626854      14.6257       0.0054
2459695.69832852      14.6344       0.0054
2459695.70377939      14.6707       0.0054
2459695.70582780      14.6127       0.0054
2459695.70788779      14.6793       0.0054
2459695.70994777      14.6854       0.0054
2459695.71200776      14.6938       0.0054
2459695.71406775      14.6848       0.0054
2459695.71611616      14.6833       0.0054
2459695.71817615      14.6827       0.0054
2459695.72023613      14.6646       0.0054
2459695.72228455      14.6632       0.0054
2459695.72434453      14.6424       0.0054
2459695.72640452      14.6323       0.0054
2459695.72846451      14.6179       0.0054
2459695.73052449      14.6075       0.0054
2459695.73258448      14.5914       0.0054
2459695.73463289      14.5868       0.0054
2459695.73669288      14.5613       0.0054
2459695.73875286      14.5503       0.0054
2459695.74081285      14.5400       0.0054
2459695.74287284      14.5220       0.0054
