#     HJD               I           errI
2459695.66253916      12.7747       0.0036
2459695.66461072      12.7750       0.0036
2459695.66667070      12.7763       0.0036
2459695.66873069      12.7837       0.0036
2459695.68459721      12.8518       0.0036
2459695.68664563      12.8595       0.0036
2459695.68870561      12.8699       0.0036
2459695.69076560      12.8833       0.0036
2459695.69282558      12.8908       0.0045
2459695.69488557      12.9072       0.0045
2459695.69693398      12.9165       0.0045
2459695.69899397      12.9251       0.0036
2459695.70239642      12.9475       0.0045
2459695.70444483      12.9533       0.0045
2459695.70650482      12.9642       0.0045
2459695.70856481      12.9612       0.0045
2459695.71062479      12.9680       0.0045
2459695.71268478      12.9737       0.0045
2459695.71473319      12.9687       0.0045
2459695.71679318      12.9546       0.0045
2459695.71884159      12.9674       0.0045
2459695.72090158      12.9582       0.0045
2459695.72296156      12.9425       0.0045
2459695.72502155      12.9274       0.0045
2459695.72708154      12.9140       0.0045
2459695.72912995      12.9091       0.0036
2459695.73118994      12.8968       0.0036
2459695.73324992      12.8855       0.0036
2459695.73530991      12.8815       0.0036
2459695.73736990      12.8669       0.0036
2459695.73941831      12.8536       0.0036
2459695.74147830      12.8421       0.0036
2459695.74353828      12.8303       0.0036
2459695.74559827      12.8200       0.0036
2459695.74765825      12.8115       0.0036
2459695.74971824      12.8006       0.0036
2459695.75176665      12.7916       0.0036
2459695.75382664      12.7887       0.0036
2459695.75588663      12.7758       0.0036
2459930.77892372      12.7683       0.0036
2459930.78097243      12.7609       0.0036
2459930.78304429      12.7530       0.0036
2459930.78510457      12.7510       0.0036
2459930.78716485      12.7494       0.0036
2459930.78922514      12.7536       0.0036
2459930.79128542      12.7452       0.0036
2459930.79334570      12.7436       0.0036
2459930.79540599      12.7430       0.0036
2459930.79746627      12.7378       0.0036
2459930.79952655      12.7447       0.0036
2459930.80158684      12.7493       0.0036
2459930.80364712      12.7506       0.0036
2459930.80570740      12.7556       0.0036
2459930.80776769      12.7608       0.0036
2459930.80982797      12.7648       0.0036
2459930.81188826      12.7808       0.0036
2459930.81394854      12.7765       0.0045
