#     HJD               R           errR
2459695.66501577      13.2453       0.0045
2459695.66707576      13.2527       0.0045
2459695.66913574      13.2592       0.0045
2459695.68500227      13.3204       0.0045
2459695.68705068      13.3404       0.0045
2459695.68911066      13.3442       0.0045
2459695.69117065      13.3579       0.0045
2459695.69323064      13.3719       0.0045
2459695.69527905      13.3856       0.0045
2459695.69733904      13.3910       0.0054
2459695.69939902      13.4065       0.0045
2459695.70278990      13.4176       0.0045
2459695.70484989      13.4364       0.0045
2459695.70690987      13.4472       0.0054
2459695.70896986      13.4474       0.0045
2459695.71102985      13.4485       0.0045
2459695.71308983      13.4562       0.0045
2459695.71513825      13.4562       0.0045
2459695.71719823      13.4384       0.0045
2459695.71924664      13.4330       0.0045
2459695.72130663      13.4390       0.0045
2459695.72336662      13.4187       0.0045
2459695.72542660      13.3887       0.0045
2459695.72748659      13.3877       0.0045
2459695.72953500      13.3808       0.0045
2459695.73159499      13.3734       0.0045
2459695.73365498      13.3506       0.0045
2459695.73571496      13.3521       0.0045
2459695.73776338      13.3308       0.0045
2459695.73982336      13.3255       0.0045
2459695.74188335      13.3059       0.0045
2459695.74394334      13.3224       0.0045
2459695.74600332      13.2871       0.0045
2459695.74806331      13.2804       0.0045
2459695.75012329      13.2644       0.0045
2459695.75217171      13.2721       0.0045
2459695.75423169      13.2524       0.0045
2459695.75629168      13.2348       0.0045
2459930.77931726      13.2301       0.0045
2459930.78137754      13.2233       0.0045
2459930.78344940      13.2298       0.0045
2459930.78550968      13.2099       0.0045
2459930.78756997      13.2149       0.0045
2459930.78963025      13.2128       0.0045
2459930.79169053      13.2113       0.0045
2459930.79375082      13.2024       0.0045
2459930.79581110      13.2060       0.0045
2459930.79787138      13.2095       0.0045
2459930.79993167      13.2232       0.0045
2459930.80199195      13.2169       0.0045
2459930.80405223      13.2211       0.0045
2459930.80611252      13.2291       0.0045
2459930.80817280      13.2375       0.0045
2459930.81023308      13.2341       0.0045
2459930.81229337      13.2377       0.0045
2459930.81435365      13.2429       0.0058
2459930.81641393      13.2709       0.0045
2459930.81847422      13.2688       0.0045
2459930.82054607      13.2822       0.0054
2459930.82260636      13.2971       0.0045
2459930.82466664      13.3013       0.0058
2459930.82672693      13.3010       0.0045
2459930.82878721      13.3191       0.0045
2459930.83084749      13.3301       0.0058
2459930.83290778      13.3513       0.0058
2459930.83496806      13.3546       0.0067
2459930.83703992      13.3549       0.0058
2459930.83910020      13.3773       0.0058
2459930.84116048      13.3934       0.0058
2459930.84322077      13.4137       0.0058
2459930.84528105      13.4177       0.0058
2459930.84734133      13.4426       0.0067
2459930.84941319      13.4593       0.0067
2459930.85147347      13.4641       0.0058
2459930.85353376      13.4780       0.0058
2459930.85559404      13.4714       0.0067
2459930.85765432      13.4750       0.0067
2459930.85971461      13.4740       0.0054
2459930.86178646      13.4786       0.0054
2459930.86384675      13.4631       0.0054
2459930.86590703      13.4594       0.0054
2459930.86796731      13.4507       0.0045
2459930.87002760      13.4437       0.0045
2459930.87208788      13.4149       0.0045
2459930.87414816      13.4105       0.0054
2459930.87622002      13.3958       0.0054
2459930.87828030      13.3968       0.0054
2459930.88034059      13.3722       0.0045
2459930.88240087      13.3525       0.0045
2459930.88446115      13.3423       0.0045
2459930.88653301      13.3295       0.0045
2459930.88859329      13.3177       0.0054
2459930.89065358      13.3095       0.0045
2459930.89477414      13.2918       0.0045
2459930.89684600      13.2914       0.0045
2459930.89890629      13.2820       0.0045
2459930.90096657      13.2580       0.0045
