# SPM 84 cm telescope.
# Observers: Raul Michel + Ramon Caballero 2024
# Data reduction: Raul Michel
#    Image             Filter          ExpTime       HJD           AMass    1 (J113130.67+475420.8)  2        3   ...     errs 
201801220580o.fit        V             15.000  2458141.00172441    1.060  15.5220  14.9876  14.8740  15.0876  16.9837  19.1758  18.6310   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220581o.fit        B             30.000  2458141.00229086    1.060  16.1516  15.5255  15.2938  15.4979  17.4075  20.0650  19.8586   0.0030   0.0020   0.0020   0.0020   0.0050   0.0260   0.0230
201801220582o.fit        I             10.000  2458141.00293602    1.061  14.9463  14.6037  14.5946  14.8260  16.7384  18.3612  16.1413   0.0030   0.0030   0.0030   0.0030   0.0080   0.0230   0.0060
201801220583o.fit        R             10.000  2458141.00335757    1.061  15.0201  14.5738  14.4871  14.7431  16.6490  18.6659  17.5993   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0120
201801220584o.fit        V             15.000  2458141.00376244    1.062  15.5340  14.9997  14.8815  15.0907  16.9876  19.2144  18.6238   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220585o.fit        B             30.000  2458141.00432867    1.062  16.1567  15.5321  15.2981  15.5074  17.4083  20.0973  19.8371   0.0030   0.0020   0.0020   0.0020   0.0050   0.0270   0.0220
201801220586o.fit        I             10.000  2458141.00497279    1.063  14.9442  14.6038  14.5919  14.8331  16.7287  18.3728  16.1320   0.0030   0.0030   0.0030   0.0030   0.0080   0.0230   0.0060
201801220587o.fit        R             10.000  2458141.00539514    1.063  15.0075  14.5730  14.4840  14.7411  16.6512  18.6468  17.5829   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0110
201801220588o.fit        V             15.000  2458141.00579979    1.064  15.5208  15.0017  14.8754  15.0964  16.9897  19.2032  18.6722   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0170
201801220589o.fit        B             30.000  2458141.00636625    1.064  16.1421  15.5279  15.2893  15.4965  17.4048  20.0353  19.8365   0.0030   0.0020   0.0020   0.0020   0.0050   0.0260   0.0220
201801220590o.fit        I             10.000  2458141.00701280    1.065  14.9151  14.5913  14.5794  14.8203  16.7133  18.3765  16.1250   0.0030   0.0030   0.0030   0.0030   0.0080   0.0240   0.0050
201801220591o.fit        R             10.000  2458141.00743353    1.065  15.0080  14.5783  14.4895  14.7419  16.6564  18.6563  17.5994   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0120
201801220592o.fit        V             15.000  2458141.00783760    1.066  15.5233  15.0016  14.8867  15.1003  17.0025  19.2503  18.6516   0.0030   0.0020   0.0020   0.0030   0.0060   0.0250   0.0170
201801220593o.fit        B             30.000  2458141.00840405    1.067  16.1597  15.5526  15.3168  15.5269  17.4300  20.0622  19.8516   0.0030   0.0020   0.0020   0.0020   0.0060   0.0260   0.0230
201801220594o.fit        I             10.000  2458141.00905176    1.067  14.9427  14.6156  14.5934  14.8411  16.7339  18.3770  16.1475   0.0030   0.0030   0.0030   0.0030   0.0080   0.0240   0.0060
201801220595o.fit        R             10.000  2458141.00947087    1.068  15.0309  14.6013  14.5158  14.7728  16.6836  18.6220  17.6394   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0120
201801220596o.fit        V             15.000  2458141.00987540    1.068  15.5659  15.0493  14.9219  15.1427  17.0389  19.2506  18.6541   0.0030   0.0020   0.0020   0.0030   0.0070   0.0250   0.0170
201801220597o.fit        B             30.000  2458141.01044174    1.069  16.1747  15.5670  15.3328  15.5404  17.4437  20.0720  19.8693   0.0030   0.0020   0.0020   0.0020   0.0060   0.0270   0.0230
201801220598o.fit        I             10.000  2458141.01109223    1.069  14.9431  14.6242  14.6184  14.8535  16.7369  18.3692  16.1661   0.0030   0.0030   0.0030   0.0030   0.0080   0.0230   0.0060
201801220599o.fit        R             10.000  2458141.01150764    1.070  15.0417  14.6257  14.5309  14.7862  16.7033  18.6899  17.6577   0.0030   0.0030   0.0020   0.0030   0.0070   0.0240   0.0120
201801220600o.fit        V             15.000  2458141.01191263    1.070  15.5685  15.0591  14.9359  15.1568  17.0538  19.2404  18.6658   0.0030   0.0030   0.0020   0.0030   0.0070   0.0240   0.0170
201801220601o.fit        B             30.000  2458141.01247920    1.071  16.2722  15.6648  15.4357  15.6400  17.5495  20.2264  20.0045   0.0030   0.0020   0.0020   0.0020   0.0060   0.0300   0.0250
201801220602o.fit        I             10.000  2458141.01313131    1.072  15.0733  14.7580  14.7469  14.9846  16.8836  18.4886  16.3004   0.0030   0.0030   0.0030   0.0030   0.0090   0.0250   0.0060
201801220603o.fit        R             10.000  2458141.01354580    1.072  15.0879  14.6765  14.5877  14.8487  16.7488  18.7448  17.6987   0.0030   0.0030   0.0020   0.0030   0.0070   0.0240   0.0120
201801220604o.fit        V             15.000  2458141.01395553    1.073  15.7164  15.2042  15.0794  15.3046  17.1996  19.4291  18.8050   0.0030   0.0030   0.0030   0.0030   0.0070   0.0280   0.0180
201801220605o.fit        B             30.000  2458141.01451690    1.074  16.4185  15.8280  15.5954  15.8016  17.7129  20.3679  20.1412   0.0030   0.0030   0.0020   0.0020   0.0060   0.0330   0.0280
