#     HJD               B        errB
2459655.99298038      15.1583       0.0112
2459655.99505221      15.1785       0.0112
2459655.99710090      15.2018       0.0112
2459655.99918430      15.2289       0.0132
2459656.00125613      15.2573       0.0112
2459656.00332797      15.2939       0.0122
2459656.00541137      15.2997       0.0112
2459656.00749478      15.3048       0.0112
2459656.00957818      15.3158       0.0122
2459656.01166159      15.3038       0.0122
2459656.01373342      15.3579       0.0122
2459656.01580525      15.3441       0.0122
2459656.01787708      15.3608       0.0112
2459662.88464232      15.3058       0.0063
2459662.88672572      15.2944       0.0063
2459662.88880912      15.2861       0.0063
2459662.89089251      15.2924       0.0063
2459662.89297591      15.2756       0.0063
2459662.89505931      15.2618       0.0063
2459662.89714271      15.2441       0.0063
2459662.89921453      15.2046       0.0063
2459662.90129793      15.1814       0.0063
2459662.90336975      15.1746       0.0063
2459662.90544157      15.1470       0.0063
2459662.90751340      15.1376       0.0063
2459662.90958522      15.1169       0.0063
2459662.91165704      15.1020       0.0063
2459662.91372887      15.0921       0.0063
2459662.91580069      15.0862       0.0063
2459662.91787251      15.0845       0.0063
2459662.91994434      15.0664       0.0063
2459662.92201616      15.0585       0.0063
2459662.92408798      15.0644       0.0063
2459662.92615981      15.0404       0.0063
2459662.92823163      15.0510       0.0063
2459662.93030345      15.0352       0.0054
2459662.93237527      15.0414       0.0063
2459662.93444710      15.0255       0.0054
2459662.93651892      15.0209       0.0054
2459662.93860232      15.0241       0.0051
2459662.94067414      15.0245       0.0051
2459662.94274596      15.0163       0.0051
2459662.94481779      15.0353       0.0051
2459662.94688961      15.0340       0.0051
2459662.94896143      15.0404       0.0051
2459662.95104483      15.0500       0.0051
2459662.95311665      15.0536       0.0051
2459662.95518848      15.0600       0.0051
2459662.95726030      15.0735       0.0051
2459662.95933212      15.0746       0.0051
2459662.96142710      15.0924       0.0061
2459662.96352207      15.1057       0.0061
2459662.96561704      15.1062       0.0061
2459662.96771201      15.1234       0.0061
2459662.96980698      15.1430       0.0061
2459662.97190196      15.1656       0.0061
2459662.97400850      15.1864       0.0061
2459662.97609190      15.2022       0.0061
2459662.97818687      15.2302       0.0061
2459662.98025869      15.2636       0.0061
2459662.98234209      15.2732       0.0061
2459662.98441391      15.3034       0.0061
2459662.98648574      15.3301       0.0061
2459662.98856914      15.3266       0.0061
2459662.99064096      15.3376       0.0061
2459662.99271278      15.3465       0.0061
2459662.99479618      15.3490       0.0061
2459662.99686800      15.3642       0.0061
2459662.99895140      15.3494       0.0061
2459663.00102322      15.3577       0.0061
2459663.00309505      15.3704       0.0061
2459663.00517844      15.3671       0.0061
2459663.00725027      15.3543       0.0061
2459663.00932209      15.3520       0.0061
2459663.01139391      15.3458       0.0061
2459663.01347731      15.3373       0.0061
2459663.01554913      15.3159       0.0061
2459663.01762096      15.2943       0.0061
2459709.72756317      15.2819       0.0073
2459709.72988955      15.2896       0.0073
2459709.73193816      15.2997       0.0073
2459709.73986637      15.2909       0.0073
2459709.74191497      15.2840       0.0073
2459709.74602375      15.2860       0.0073
2459709.74807235      15.2767       0.0073
2459709.75013253      15.2834       0.0073
2459709.75218113      15.2821       0.0073
2459709.75424131      15.2777       0.0071
2459709.75628991      15.2788       0.0073
2459709.75833852      15.2460       0.0073
2459709.76039869      15.2268       0.0063
2459709.76245887      15.2129       0.0063
2459709.76451905      15.1823       0.0061
2459709.76657923      15.1647       0.0061
2459709.76863940      15.1607       0.0061
2459709.77068801      15.1460       0.0061
2459709.77274818      15.1195       0.0061
2459709.77480836      15.1170       0.0061
2459709.77686854      15.0893       0.0061
2459709.77892872      15.0947       0.0061
2459709.78098889      15.0933       0.0061
2459709.78304907      15.0815       0.0061
2459709.78510925      15.0681       0.0061
2459709.78716942      15.0606       0.0061
2459709.78922960      15.0590       0.0061
2459709.79128978      15.0515       0.0061
2459709.79334996      15.0491       0.0061
2459709.79541013      15.0507       0.0061
2459709.79747031      15.0356       0.0061
2459709.79953049      15.0389       0.0061
2459709.80159066      15.0377       0.0061
2459709.80365084      15.0314       0.0061
2459709.80571102      15.0251       0.0061
2459709.80777120      15.0381       0.0061
2459709.80983137      15.0375       0.0061
2459709.81189155      15.0376       0.0061
2459709.81395173      15.0504       0.0061
2459709.81601190      15.0531       0.0061
2459709.81807208      15.0649       0.0061
2459709.82013226      15.0668       0.0061
2459709.82219244      15.0674       0.0061
2459709.82425261      15.0858       0.0061
2459709.82631279      15.1084       0.0061
2459709.82837297      15.1080       0.0061
2459709.83043314      15.1266       0.0061
2459709.83249332      15.1424       0.0061
2459709.83455350      15.1547       0.0061
2459709.83662525      15.1797       0.0061
2459709.83868543      15.1966       0.0061
2459709.84074560      15.2180       0.0061
2459709.84280578      15.2398       0.0061
2459709.84486596      15.2688       0.0061
2459709.84693771      15.2924       0.0061
2459709.84899789      15.3193       0.0071
