#     HJD               V         errV
2459663.00255105      14.9245       0.0082
2459663.00462287      14.9033       0.0082
2459663.00669469      14.9109       0.0082
2459663.00877809      14.9074       0.0082
2459663.01084991      14.9061       0.0082
2459663.01292174      14.9031       0.0082
2459663.01500513      14.8896       0.0082
2459663.01707696      14.8560       0.0073
2459709.72701919      14.8641       0.0092
2459709.72934557      14.8539       0.0092
2459709.73139418      14.8525       0.0092
2459709.73932239      14.8459       0.0082
2459709.74137099      14.8639       0.0082
2459709.74341959      14.8597       0.0082
2459709.74546820      14.8573       0.0082
2459709.74752837      14.8473       0.0082
2459709.74957698      14.8364       0.0082
2459709.75163715      14.8399       0.0082
2459709.75368576      14.8520       0.0082
2459709.75574593      14.8318       0.0082
2459709.75779454      14.8185       0.0082
2459709.75985471      14.7972       0.0082
2459709.76191489      14.7653       0.0082
2459709.76396350      14.7617       0.0082
2459709.76602367      14.7201       0.0082
2459709.76808385      14.7148       0.0082
2459709.77014403      14.7004       0.0082
2459709.77220420      14.6920       0.0073
2459709.77426438      14.6747       0.0073
2459709.77632456      14.6653       0.0073
2459709.77838474      14.6497       0.0073
2459709.78044491      14.6545       0.0073
2459709.78250509      14.6372       0.0073
2459709.78456527      14.6311       0.0073
2459709.78662544      14.6234       0.0073
2459709.78868562      14.6233       0.0073
2459709.79074580      14.6135       0.0073
2459709.79279440      14.6119       0.0073
2459709.79486615      14.5977       0.0073
2459709.79692633      14.6037       0.0073
2459709.79898651      14.5946       0.0073
2459709.80103511      14.6027       0.0073
2459709.80309529      14.5933       0.0073
2459709.80515547      14.5899       0.0073
2459709.80721564      14.5975       0.0073
2459709.80927582      14.5989       0.0073
2459709.81133600      14.6073       0.0073
2459709.81339617      14.6032       0.0073
2459709.81545635      14.6123       0.0073
2459709.81752810      14.6312       0.0073
2459709.81958828      14.6251       0.0073
2459709.82164846      14.6379       0.0073
2459709.82370863      14.6503       0.0073
2459709.82576881      14.6781       0.0073
2459709.82782899      14.6736       0.0073
2459709.82988917      14.6804       0.0073
2459709.83194934      14.7048       0.0073
2459709.83400952      14.7176       0.0082
2459709.83606970      14.7173       0.0073
2459709.83814145      14.7556       0.0082
2459709.84020162      14.7691       0.0082
2459709.84226180      14.7843       0.0082
2459709.84432198      14.8147       0.0082
2459709.84638216      14.8556       0.0082
2459709.84844233      14.8813       0.0082
2459709.85051409      14.8744       0.0082
2459709.85257426      14.8817       0.0082
2459709.85463444      14.8891       0.0082
2459709.85669462      14.8978       0.0082
2459709.85875479      14.8991       0.0082
2459709.86082654      14.9116       0.0082
2459709.86288672      14.8990       0.0082
2459709.86494690      14.9254       0.0082
2459709.86701865      14.9115       0.0082
2459709.86907883      14.9051       0.0082
2459709.87113900      14.8990       0.0082
2459709.87321075      14.9143       0.0082
2459709.87527093      14.9116       0.0082
2459709.87733111      14.8968       0.0082
2459709.87939129      14.8836       0.0082
2459712.65962036      14.6373       0.0092
2459712.66166896      14.6233       0.0092
2459712.66372914      14.6146       0.0092
2459712.66577773      14.6187       0.0082
2459712.66783791      14.5990       0.0082
2459712.66988651      14.6160       0.0082
2459712.67194668      14.6092       0.0082
2459712.67399528      14.6322       0.0082
2459712.67605545      14.6271       0.0082
2459712.67810405      14.6301       0.0082
2459712.68016422      14.6208       0.0082
2459712.68221282      14.6418       0.0082
2459712.68427299      14.6398       0.0092
2459712.68739797      14.6465       0.0082
2459712.68944657      14.6552       0.0082
2459712.69150674      14.6770       0.0092
2459712.69474747      14.6887       0.0082
2459712.69680764      14.7001       0.0082
2459712.69884466      14.7196       0.0082
2459712.70089326      14.7231       0.0082
2459712.70406454      14.7515       0.0092
2459712.70612471      14.7710       0.0092
2459712.70818488      14.7941       0.0092
2459712.71023348      14.8037       0.0092
2459712.71229365      14.8268       0.0092
2459712.71435383      14.8522       0.0092
2459712.71641400      14.8665       0.0092
2459712.71846260      14.8779       0.0092
2459712.72052277      14.8666       0.0092
2459712.72258294      14.8694       0.0092
2459712.72463154      14.8663       0.0092
2459712.72669171      14.8610       0.0092
2459712.72875189      14.8685       0.0092
2459712.73081206      14.8944       0.0112
2459712.73286066      14.8651       0.0092
2459712.73492083      14.8603       0.0092
2459712.73698100      14.8788       0.0092
2459712.73904117      14.8693       0.0092
2459712.74108977      14.8667       0.0112
2459712.74314994      14.8758       0.0092
2459712.74521012      14.8695       0.0092
2459712.74727029      14.8536       0.0092
2459712.74933046      14.8309       0.0082
2459712.75139063      14.7973       0.0082
2459712.75345081      14.7841       0.0082
2459712.75605496      14.7605       0.0082
2459712.75811513      14.7252       0.0082
2459712.76017530      14.7193       0.0092
2459712.76223547      14.6978       0.0082
2459712.76429565      14.7065       0.0092
2459712.76635582      14.6869       0.0082
2459712.76841599      14.6669       0.0082
2459712.77046459      14.6464       0.0082
2459712.77252476      14.6443       0.0122
2459712.77458494      14.6610       0.0092
2459712.78620523      14.6303       0.0073
2459712.78826541      14.6068       0.0073
2459712.79032558      14.6044       0.0073
2459712.79238575      14.6067       0.0073
2459712.79444592      14.6067       0.0073
2459712.79650610      14.5951       0.0082
2459712.79857784      14.6072       0.0073
2459712.80063801      14.6116       0.0082
2459712.80269819      14.6093       0.0073
2459712.80475836      14.6072       0.0073
2459712.80681853      14.6169       0.0073
2459712.80887870      14.6429       0.0073
2459712.81093888      14.6412       0.0073
2459712.81299905      14.6533       0.0082
2459712.81505922      14.6611       0.0073
2459712.81711939      14.6684       0.0082
2459712.82970033      14.7515       0.0082
2459712.83174893      14.7748       0.0082
2459712.83379753      14.7885       0.0082
2459712.83585770      14.8219       0.0082
2459712.83790630      14.8530       0.0082
2459712.83995490      14.8729       0.0082
2459712.84201507      14.8926       0.0082
2459712.84406367      14.8974       0.0082
2459712.84611227      14.9079       0.0082
