#     HJD               R         errR
2459663.01248770      14.6049       0.0073
2459663.01455952      14.6091       0.0073
2459663.01664292      14.5780       0.0073
2459709.72658517      14.5642       0.0082
2459709.72863377      14.5570       0.0082
2459709.73096015      14.5701       0.0082
2459709.73302033      14.5749       0.0082
2459709.73888836      14.5598       0.0082
2459709.74093696      14.5790       0.0082
2459709.74298557      14.5758       0.0082
2459709.74504574      14.5712       0.0082
2459709.74709435      14.5811       0.0082
2459709.74914295      14.5615       0.0082
2459709.75120313      14.5472       0.0082
2459709.75325173      14.5763       0.0082
2459709.75531191      14.5750       0.0082
2459709.75736051      14.5375       0.0082
2459709.75942069      14.5224       0.0073
2459709.76148087      14.4972       0.0073
2459709.76352947      14.4968       0.0073
2459709.76558965      14.4578       0.0073
2459709.76764982      14.4593       0.0073
2459709.76971000      14.4292       0.0073
2459709.77177018      14.4086       0.0073
2459709.77383036      14.3914       0.0073
2459709.77589053      14.4022       0.0073
2459709.77795071      14.3818       0.0073
2459709.78001089      14.3745       0.0073
2459709.78207106      14.3583       0.0073
2459709.78413124      14.3591       0.0073
2459709.78619142      14.3569       0.0073
2459709.78825160      14.3483       0.0073
2459709.79031177      14.3374       0.0073
2459709.79236038      14.3299       0.0073
2459709.79443213      14.3336       0.0073
2459709.79649230      14.3286       0.0073
2459709.79855248      14.3214       0.0073
2459709.80061266      14.3251       0.0073
2459709.80266126      14.3126       0.0073
2459709.80472144      14.3171       0.0073
2459709.80678162      14.3223       0.0073
2459709.80884179      14.3138       0.0073
2459709.81090197      14.3166       0.0073
2459709.81296215      14.3301       0.0073
2459709.81502233      14.3340       0.0073
2459709.81709408      14.3637       0.0073
2459709.81915425      14.3563       0.0073
2459709.82121443      14.3557       0.0073
2459709.82327461      14.3660       0.0073
2459709.82533478      14.3873       0.0073
2459709.82739496      14.3731       0.0073
2459709.82945514      14.4071       0.0073
2459709.83151532      14.4117       0.0073
2459709.83357549      14.4398       0.0073
2459709.83563567      14.4524       0.0073
2459709.83770742      14.4632       0.0073
2459709.83976760      14.4829       0.0073
2459709.84182778      14.5083       0.0073
2459709.84388795      14.5284       0.0073
2459709.84594813      14.5487       0.0073
2459709.84800831      14.5700       0.0082
2459709.85008006      14.5925       0.0082
2459709.85214024      14.5954       0.0082
2459709.85420041      14.6149       0.0082
2459709.85626059      14.6142       0.0082
2459709.85832077      14.6022       0.0082
2459709.86039252      14.6325       0.0082
2459709.86245270      14.6136       0.0082
2459709.86451287      14.6129       0.0082
2459709.86658462      14.6097       0.0082
2459709.86864480      14.6182       0.0082
2459709.87070498      14.6126       0.0082
2459709.87277673      14.6198       0.0082
2459709.87483691      14.6051       0.0082
2459709.87689708      14.6086       0.0082
2459709.87895726      14.5904       0.0073
2459712.65918634      14.3552       0.0082
2459712.66123494      14.3360       0.0082
2459712.66329511      14.3419       0.0082
2459712.66534371      14.3383       0.0082
2459712.66740388      14.3300       0.0073
2459712.66945248      14.3346       0.0073
2459712.67151265      14.3314       0.0073
2459712.67356125      14.3337       0.0073
2459712.67562142      14.3322       0.0073
2459712.67768160      14.3594       0.0082
2459712.67973020      14.3551       0.0073
2459712.68177879      14.3583       0.0073
2459712.68383897      14.3649       0.0073
2459712.68589914      14.3717       0.0082
2459712.68901255      14.3825       0.0073
2459712.69107272      14.3935       0.0082
2459712.69431344      14.4057       0.0082
2459712.69637361      14.4167       0.0082
2459712.69843378      14.4198       0.0082
2459712.70045924      14.4563       0.0082
