#     HJD               I         errI
2459662.92063301      14.0608       0.0061
2459662.92270484      14.0413       0.0061
2459662.92476509      14.0410       0.0061
2459662.92683691      14.0319       0.0061
2459662.92890873      14.0301       0.0061
2459662.93098056      14.0200       0.0051
2459662.93305238      14.0164       0.0061
2459662.93512420      14.0128       0.0051
2459662.93719603      14.0208       0.0051
2459662.93927942      14.0206       0.0051
2459662.94135125      14.0051       0.0051
2459662.94342307      14.0205       0.0051
2459662.94550647      14.0241       0.0051
2459662.94757829      14.0244       0.0051
2459662.94965011      14.0294       0.0051
2459662.95172194      14.0380       0.0051
2459662.95379376      14.0482       0.0051
2459662.95586558      14.0515       0.0051
2459662.95793740      14.0544       0.0051
2459662.96000923      14.0678       0.0061
2459662.96210420      14.0803       0.0061
2459662.96421075      14.0832       0.0061
2459662.96630572      14.0932       0.0061
2459662.96840069      14.1119       0.0061
2459662.97049566      14.1340       0.0061
2459662.97259063      14.1396       0.0061
2459662.97468561      14.1672       0.0061
2459662.97678058      14.1891       0.0061
2459662.97886398      14.2074       0.0061
2459662.98094737      14.2345       0.0061
2459662.98301920      14.2522       0.0061
2459662.98509102      14.2799       0.0061
2459662.98717442      14.2876       0.0061
2459662.98924624      14.2923       0.0061
2459662.99131806      14.2907       0.0061
2459662.99340146      14.2964       0.0061
2459662.99547328      14.3054       0.0061
2459662.99755668      14.2953       0.0061
2459662.99962850      14.3024       0.0061
2459663.00170033      14.3026       0.0061
2459663.00377215      14.3065       0.0061
2459663.00585555      14.2979       0.0061
2459663.00792737      14.2897       0.0061
2459663.01001077      14.3057       0.0061
2459663.01208259      14.2890       0.0061
2459663.01415441      14.2804       0.0061
2459663.01622624      14.2784       0.0061
2459663.01830963      14.2552       0.0061
2459709.72618007      14.2626       0.0081
2459709.72822868      14.2518       0.0082
2459709.73055506      14.2713       0.0081
2459709.73261524      14.2593       0.0081
2459709.73848327      14.2180       0.0071
2459709.74053187      14.2603       0.0071
2459709.74258048      14.2641       0.0071
2459709.74464065      14.2637       0.0071
2459709.74668926      14.2590       0.0071
2459709.74873786      14.2680       0.0071
2459709.75079804      14.2643       0.0071
2459709.75285821      14.2704       0.0071
2459709.75490682      14.2663       0.0071
2459709.75695542      14.2350       0.0071
2459709.75901560      14.2324       0.0071
2459709.76107577      14.2068       0.0071
2459709.76312438      14.1778       0.0071
2459709.76518456      14.1566       0.0071
2459709.76724473      14.1381       0.0071
2459709.76930491      14.1254       0.0071
2459709.77136509      14.1212       0.0071
2459709.77342526      14.1113       0.0071
2459709.77548544      14.0887       0.0071
2459709.77754562      14.0793       0.0071
2459709.77960580      14.0750       0.0071
2459709.78166597      14.0546       0.0061
2459709.78372615      14.0579       0.0071
2459709.78578633      14.0608       0.0061
2459709.78784651      14.0401       0.0071
2459709.78990668      14.0282       0.0061
2459709.79196686      14.0223       0.0061
2459709.79402704      14.0184       0.0061
2459709.79608721      14.0230       0.0061
2459709.79814739      14.0223       0.0061
2459709.80020757      14.0213       0.0061
2459709.80225617      14.0181       0.0061
2459709.80431635      14.0207       0.0061
2459709.80637653      14.0187       0.0061
2459709.80843670      14.0220       0.0061
2459709.81049688      14.0176       0.0061
2459709.81255706      14.0209       0.0061
2459709.81461723      14.0370       0.0061
2459709.81668899      14.0467       0.0061
2459709.81874916      14.0472       0.0061
2459709.82080934      14.0585       0.0071
2459709.82286952      14.0747       0.0071
2459709.82492969      14.0802       0.0071
2459709.82698987      14.0885       0.0071
2459709.82905005      14.0947       0.0071
2459709.83111023      14.1182       0.0071
2459709.83317040      14.1274       0.0071
2459709.83523058      14.1522       0.0071
2459709.83729076      14.1598       0.0071
2459709.83936251      14.1719       0.0071
2459709.84142269      14.1841       0.0071
2459709.84348286      14.2104       0.0071
2459709.84554304      14.2462       0.0071
2459709.84760322      14.2496       0.0071
2459709.84967497      14.2928       0.0071
2459709.85173515      14.2857       0.0071
2459709.85379532      14.2980       0.0071
2459709.85585550      14.2977       0.0071
2459709.85791568      14.3108       0.0071
2459709.85998743      14.3116       0.0071
2459709.86204760      14.3119       0.0071
2459709.86410778      14.3173       0.0071
2459709.86616796      14.3044       0.0071
2459709.86823971      14.3190       0.0081
2459709.87029989      14.3099       0.0071
2459709.87237164      14.3013       0.0071
2459709.87443182      14.3096       0.0071
2459709.87649199      14.2870       0.0071
2459709.87855217      14.2888       0.0071
2459712.65878125      14.0455       0.0073
2459712.66082985      14.0432       0.0073
2459712.66289002      14.0320       0.0073
2459712.66493862      14.0397       0.0073
2459712.66699879      14.0340       0.0073
2459712.66904739      14.0471       0.0063
2459712.67110756      14.0458       0.0073
2459712.67315616      14.0246       0.0073
2459712.67521634      14.0506       0.0073
2459712.67727651      14.0446       0.0073
2459712.67932511      14.0490       0.0073
2459712.68138528      14.0594       0.0073
2459712.68343388      14.0515       0.0073
2459712.68548248      14.0705       0.0073
2459712.68860746      14.0731       0.0073
2459712.69066763      14.0871       0.0073
2459712.69271623      14.0942       0.0073
2459712.69596852      14.1045       0.0073
2459712.70005415      14.1251       0.0073
2459712.70322542      14.1491       0.0073
2459712.70528559      14.1742       0.0073
2459712.70734577      14.1809       0.0073
2459712.70939437      14.2156       0.0073
2459712.71145454      14.2244       0.0073
2459712.71351471      14.2457       0.0073
2459712.71557488      14.2634       0.0073
2459712.71762348      14.2959       0.0073
2459712.71968365      14.2918       0.0082
2459712.72173225      14.2936       0.0073
2459712.72379243      14.2764       0.0082
2459712.72585260      14.2855       0.0082
2459712.72791277      14.2681       0.0073
2459712.72997294      14.2655       0.0082
2459712.73202154      14.2812       0.0073
2459712.73408171      14.2840       0.0082
2459712.73614189      14.2742       0.0073
2459712.73819048      14.2716       0.0073
2459712.74025066      14.2802       0.0082
2459712.74231083      14.2781       0.0082
2459712.74437100      14.2792       0.0073
2459712.74643117      14.2698       0.0073
2459712.74849135      14.2459       0.0073
2459712.75055152      14.2446       0.0073
2459712.75261169      14.2095       0.0073
2459712.75467186      14.2024       0.0073
2459712.75727601      14.1742       0.0073
2459712.75933619      14.1431       0.0073
2459712.76139636      14.1319       0.0073
2459712.76345653      14.1018       0.0082
2459712.76550513      14.1093       0.0073
2459712.76756530      14.0904       0.0073
2459712.76962548      14.0790       0.0073
2459712.77168565      14.0627       0.0122
2459712.77374582      14.0707       0.0082
2459712.77580599      14.0564       0.0073
2459712.78742629      14.0309       0.0061
2459712.78948646      14.0247       0.0061
2459712.79154664      14.0289       0.0061
2459712.79360681      14.0245       0.0061
2459712.79566698      14.0166       0.0063
2459712.79772715      14.0179       0.0063
2459712.79978732      14.0452       0.0061
2459712.80184750      14.0258       0.0061
2459712.80391924      14.0332       0.0061
2459712.80597942      14.0391       0.0061
2459712.80803959      14.0401       0.0061
2459712.81009976      14.0562       0.0061
2459712.81215993      14.0529       0.0061
2459712.81420853      14.0664       0.0061
2459712.81628028      14.0753       0.0061
2459712.81834045      14.0765       0.0061
2459712.82886122      14.1573       0.0061
2459712.83090982      14.1737       0.0061
2459712.83296999      14.1982       0.0061
2459712.83501859      14.2306       0.0061
2459712.83706719      14.2419       0.0071
2459712.83912736      14.2729       0.0071
2459712.84117596      14.2837       0.0071
2459712.84322455      14.2893       0.0071
2459712.84527315      14.2921       0.0071
2459712.84733332      14.2919       0.0071
2459712.84938192      14.2991       0.0071
2459712.85144210      14.2952       0.0071
2459712.85349069      14.2946       0.0071
2459712.85553929      14.2998       0.0071
2459712.85759946      14.3059       0.0071
2459712.85964806      14.3104       0.0071
2459712.86170823      14.3013       0.0071
2459712.86375683      14.2997       0.0071
2459712.86581700      14.3031       0.0071
2459712.86786560      14.2963       0.0071
2459712.86992578      14.2899       0.0073
2459712.87197437      14.2765       0.0071
2459712.87403455      14.2564       0.0071
2459712.87608314      14.2341       0.0071
2459712.87814332      14.2177       0.0061
2459712.88019191      14.1863       0.0073
2459712.88225209      14.1674       0.0071
2459712.88431226      14.1518       0.0061
2459712.88636086      14.1373       0.0061
2459712.88842103      14.1204       0.0061
2459712.89046963      14.1132       0.0061
2459712.89252980      14.0911       0.0063
2459712.89457840      14.0905       0.0061
2459712.89663857      14.0789       0.0061
2459712.89868717      14.0516       0.0073
2459712.90074734      14.0634       0.0073
2459712.90279594      14.0484       0.0063
2459712.90485611      14.0423       0.0061
2459712.90690471      14.0405       0.0061
2459712.90896488      14.0385       0.0061
2459712.90985608      14.0417       0.0061
2459712.91156903      14.0305       0.0061
2459712.91362920      14.0303       0.0061
2459712.91567780      14.0291       0.0061
2459712.91773798      14.0266       0.0061
2459712.91978657      14.0386       0.0061
2459712.92184675      14.0330       0.0063
2459712.92390692      14.0386       0.0061
2459712.92596709      14.0381       0.0061
2459712.92801569      14.0420       0.0063
2459712.93007586      14.0345       0.0073
2459712.93213603      14.0487       0.0073
2459712.93418463      14.0596       0.0063
2459712.93624480      14.0608       0.0073
2459712.93829340      14.0758       0.0073
